product_name,manufacturer,root_category,category,product_rating,product_price,review_rating,review_title,review_text,reviewer_name
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,5,Great Value,Good value for the money.  Love two ice makers.  Fit and Finish good,Cos███J
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,1,Kjh███ley███,"Delivery guys dropped fridge, scratched wood floors, and dented fridge.",Kjh███ley███
26 cu. ft. Smart Counter-Depth MAX French Door Refrigerator with Dual Ice Makers in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.3,1999.0,1,Food Out of Algnment,Doors went out of alignment and cannot realign them using the wrench provided.,roo███od1███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,2,Problem with model!,"[This review was collected as part of a promotion.] I bought this refrigerator after having owned another LG fridge for 10 years but for some reason this one has had over six issues where it stopped cooling, would not push cold air from freezer to upper fridge or the ice maker. Have had LG technicians out to repair it and now am having another issue with the same fridge again.  Now it is being placed on an outside agency to repair it. At what point would LG consider this fridge a lemon and replace it for the customer. I own over four LG appliances and after this experience not sure if will be getting LG appliances in the future.",Ste███n5
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,4,Fan problem,"[This review was collected as part of a promotion.] Is a good product. Only problem I had was the fans went out after a year, hard to find parts.",Ori███251███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,4,Mixed feelings,[This review was collected as part of a promotion.] Large capacity in part due to icemaker in door vs in refrigerator. However small capacity for ice and small cubes. Doors seem to dent easily. No light in bottom drawer which makes it a little difficult at night.,Kik███44
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Best purchase,[This review was collected as part of a promotion.] Great product.Best purchase I made all year.Will be getting a LG dishwasher next.,Kip███d
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,4,Cooling issue resolved,[This review was collected as part of a promotion.] We had an issue with the compressor and reached out to LG. They came out an replaced the faulty part.,Lis███ef2███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,1,AVOID. Repairs are insanely expensive,"My fridge was 1 week past the 1 year factory warranty when it began to leak. Luckily I have the extended warranty. Everything in this fridge is sealed meaning repairs cost as much and more than the fridge. My water maker in the door is leaking and to repair they need to replace the door. It's a $1200 repair. That doesnt get into lost food, time without the fridge and damage from the leak to my floor. The sealed components making this hard to fix will be a deal breaker for me on another LG fridge",Mara
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Lovin’ my LG!,Great fridge! Lots of space/storage. Having 2 freezer compartments is so convenient!,CVM███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Great fridge!,"Love this fridge. So quiet, and love the ice options. Spacious with 2 freezers. I love it!",Jay███d82███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,1,Bad brand of LG refrigerator,[This review was collected as part of a promotion.] Made loud noise all throughout and now compressor is gone. Lg French door. Less than five years,She███
28 cu. ft. 4-Door French Door Smart Refrigerator with Ice and Water Dispenser in PrintProof Stainless Steel,LG,Appliances,French Door Refrigerators,4.1,1799.0,5,Great Fridge!,[This review was collected as part of a promotion.] This fridge is so great! It has so much storage for all you items. With two freezers you have space for everything!I also LOVE the ice and water dispenser!!,Ril███1
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,2,Issues with the ice maker,I bought it a little over one year ago. The ice maker started messing up about 3 months after I bought it. I will not buy another Samsung product.,Donna
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,1,Bad Freezer,"I have had this refrigerator for 3 years and have had 3 repairs on the icemaker.  The ice cubes get frosty, somehow warm air gets into the icemaker.  It just stopped working again.  Very disruptive and expensive to repair.  Bad design on Samsung's part.",Lisa
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,5,Lots of room!!!,[This review was collected as part of a promotion.] I’ve had my new refrigerator or a few weeks now. I love it!!!,Ree███
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,1,Faulty ice maker,Do not recommend. The process to replace the water filter is ridiculous. I hurt myself every time. As I’m writing this I just broke a freaking nail. The ice maker is a known issue and they refuse to acknowledge it or replace it. Instead they want to charge me to send a tech out.,Alex
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,5,Cool features!,"[This review was collected as part of a promotion.] We have had this fridge in our home for a couple of weeks now and it’s been great! It even has an app, though that’s not really for me. Overall, it has been a great purchase!",MaM███ar2███
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,5,ADA Compliant = Freedom,"Having a drawer that is wheelchair height, is an opportunity for independence for families like mine. My daughter is 16 yo living with cerebral palsy, she uses different types of mobility aides, but her wheelchair is the easiest to navigate her home and adjusting our home is a great way to increase her accessibility to her own daily routine, and she loves to eat.

I wish more families knew that there was an easy way to filter by these types of features that keep different abilities in mind.",Ang███
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,3,Bottom glass,"It is very disappointing that paying this price for a refrigerator! They have made it impossible to just lift the glass to clean it. They have it pinned down that there is a need for tools to try and pop it out! But it really isn’t even that easy! You need two people to pop it out, just to clean this refrigerator!!! And there are absolutely no instructions on how to do even that!!!   I don’t recommend this product if you never want a clean refrigerator again!!!!",Nad███
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,1,Do Not Even Think About It,"We paid over $3K and the refrigerator lasted less than four years. After several service calls, Samsung deemed it unrepairable and offered a full refund. All we have gotten from Samsung is the runaround. Samsung's dismal customer service and lack of concern about this extended delay (how long are we supposed to have no refrigerator?) is appalling. We came here to say BUYER BEWARE and look elsewhere if you want a dependable refrigerator and responsive customer service when you need it.",penny
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,4,Good,I've had this fridge for over a year now. It works great. I love the beeping sound it makes when left open for a while. I'm giving it 4 stars instead of 5 because the fridge part (top) is not very spacious but works well for people who love to store a lot of items in the freezer.,Jecc
"28 cu. ft. 4-Door French Door Smart Refrigerator in Fingerprint Resistant Stainless Steel, Standard Depth",Samsung,Appliances,French Door Refrigerators,3.8,2608.0,1,It Horrible.. Run Forrest Run!!!!,might be the worst purchase of my life..   never again.  I'll buy their tv's..   but this fridge is a joke and I should get a full refund..    like other have said noisy.  Ice maker freezes up every two weeks..    fridge cant keep cold..  its a mess..  so disappointing,Kar███er2███
